// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1/" /p:OutDir="C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1\publish/" in C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1
// command took 1.33 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1/" /p:OutDir="C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1\publish/" --output "C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1\bin\Release\net10.0/" in C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1
// command took 4.66 sec and exited with 0
// ***** Done, took 00:00:06 (6.05 sec)   *****
// Found 3 benchmarks:
//   DoubleListBenchmark.Add: DefaultJob
//   DoubleListBenchmark.Contains: DefaultJob
//   DoubleListBenchmark.Remove: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: DoubleListBenchmark.Add: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet BenchmarkCsharp-DefaultJob-1.dll --anonymousPipes 1480 1436 --benchmarkName BenchmarkCsharp.DoubleListBenchmark.Add --job Default --benchmarkId 0 in C:\Users\braya\OneDrive\Desktop\BenchmarkCsharp\bin\Release\net10.0\BenchmarkCsharp-DefaultJob-1\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.8 (10.0.8, 10.0.826.23019), X64 RyuJIT x86-64-v3
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 162000.00 ns, 162.0000 us/op
WorkloadJitting  1: 1 op, 267800.00 ns, 267.8000 us/op

OverheadJitting  2: 16 op, 283900.00 ns, 17.7438 us/op
WorkloadJitting  2: 16 op, 1065200.00 ns, 66.5750 us/op

WorkloadPilot    1: 16 op, 503000.00 ns, 31.4375 us/op
WorkloadPilot    2: 32 op, 917300.00 ns, 28.6656 us/op
WorkloadPilot    3: 64 op, 2008100.00 ns, 31.3766 us/op
WorkloadPilot    4: 128 op, 4449000.00 ns, 34.7578 us/op
WorkloadPilot    5: 256 op, 8362700.00 ns, 32.6668 us/op
WorkloadPilot    6: 512 op, 12428100.00 ns, 24.2736 us/op
WorkloadPilot    7: 1024 op, 29932200.00 ns, 29.2307 us/op
WorkloadPilot    8: 2048 op, 48778200.00 ns, 23.8175 us/op
WorkloadPilot    9: 4096 op, 94076600.00 ns, 22.9679 us/op
WorkloadPilot   10: 8192 op, 48267600.00 ns, 5.8920 us/op
WorkloadPilot   11: 16384 op, 105854000.00 ns, 6.4608 us/op
WorkloadPilot   12: 32768 op, 200600300.00 ns, 6.1218 us/op
WorkloadPilot   13: 65536 op, 375451400.00 ns, 5.7289 us/op
WorkloadPilot   14: 131072 op, 701090000.00 ns, 5.3489 us/op

OverheadWarmup   1: 131072 op, 227500.00 ns, 1.7357 ns/op
OverheadWarmup   2: 131072 op, 339200.00 ns, 2.5879 ns/op
OverheadWarmup   3: 131072 op, 226200.00 ns, 1.7258 ns/op
OverheadWarmup   4: 131072 op, 226100.00 ns, 1.7250 ns/op
OverheadWarmup   5: 131072 op, 226300.00 ns, 1.7265 ns/op
OverheadWarmup   6: 131072 op, 248700.00 ns, 1.8974 ns/op
OverheadWarmup   7: 131072 op, 230300.00 ns, 1.7570 ns/op

OverheadActual   1: 131072 op, 226200.00 ns, 1.7258 ns/op
OverheadActual   2: 131072 op, 226800.00 ns, 1.7303 ns/op
OverheadActual   3: 131072 op, 226300.00 ns, 1.7265 ns/op
OverheadActual   4: 131072 op, 224900.00 ns, 1.7159 ns/op
OverheadActual   5: 131072 op, 225100.00 ns, 1.7174 ns/op
OverheadActual   6: 131072 op, 227500.00 ns, 1.7357 ns/op
